"date","RSSI","Uptime (seconds)","Mem","Humidity (%)","Temperature (F)","Pressure","ADC0 (v)","0.3um A (particles/dL)","0.3um B (particles/dL)","0.5um A (particles/dL)","0.5um B (particles/dL)","1.0um A (particles/dL)","1.0um B (particles/dL)","2.5um A (particles/dL)","2.5um B (particles/dL)","5.0um A (particles/dL)","5.0um B (particles/dL)","10.0um A (particles/dL)","10.0um B (particles/dL)","PM1.0 A (CF=1) (ug/m3)","PM1.0 B (CF=1) (ug/m3)","PM1.0 A (CF=ATM) (ug/m3)","PM1.0 B (CF=ATM) (ug/m3)","PM2.5 A (CF=1) (ug/m3)","PM2.5 B (CF=1) (ug/m3)","PM2.5 A (CF=ATM) (ug/m3)","PM2.5 B (CF=ATM) (ug/m3)","PM10.0 A (CF=1) (ug/m3)","PM10.0 B (CF=1) (ug/m3)","PM10.0 A (CF=ATM) (ug/m3)","PM10.0 B (CF=ATM) (ug/m3)"
2023-11-12T00:01:50Z,-77,740401,16032,60.0,50.0,1000.93,0.0,1333.35,1373.46,1034.59,1083.35,157.8,125.09,0.09,0.0,0.0,0.0,0.0,0.0,20.3,20.96,19.3,20.0,27.87,27.8,27.83,27.8,30.74,28.78,30.74,28.78
2023-11-12T00:03:47Z,-77,740518,15864,60.0,50.0,1001.01,0.0,1285.04,1310.16,987.21,1039.58,122.79,111.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,19.82,19.31,19.33,26.62,25.78,26.62,25.78,28.1,27.56,28.1,27.56
2023-11-12T00:05:46Z,-77,740637,15864,60.0,50.0,1001.0,0.0,1289.04,1323.98,1005.21,1042.46,138.6,112.17,0.0,0.0,0.0,0.0,0.0,0.0,20.43,19.59,19.47,19.0,28.0,25.65,27.94,25.65,30.19,27.28,30.19,27.28
2023-11-12T00:07:46Z,-77,740757,15864,60.0,50.0,1000.96,0.0,1298.27,1319.68,1012.0,1040.55,153.82,115.98,0.0,0.0,0.0,0.0,0.0,0.0,20.11,19.98,19.18,19.32,28.2,26.96,28.11,26.96,30.96,27.66,30.96,27.66
2023-11-12T00:09:46Z,-79,740877,15864,60.0,50.0,1000.96,0.0,1308.77,1355.72,1012.51,1070.74,171.21,121.09,0.0,0.0,0.0,0.0,0.0,0.0,19.89,20.17,19.17,19.35,27.66,27.09,27.6,27.09,30.57,28.57,30.57,28.57
2023-11-12T00:11:46Z,-79,740997,15864,61.0,50.0,1000.94,0.0,1292.48,1313.09,1009.76,1023.47,133.72,111.33,0.0,0.0,0.0,0.0,0.0,0.0,19.65,20.58,19.17,19.76,27.0,26.69,27.0,26.69,30.07,28.6,30.07,28.6
2023-11-12T00:13:46Z,-75,741117,15864,61.0,50.0,1000.88,0.0,1260.65,1323.23,990.61,1033.82,143.59,112.66,0.0,0.0,0.0,0.0,0.0,0.0,19.26,20.27,19.0,19.66,27.52,26.39,27.52,26.39,29.13,27.48,29.13,27.48
2023-11-12T00:15:46Z,-78,741237,15864,61.0,50.0,1000.92,0.0,1257.75,1260.23,981.07,991.89,138.8,92.53,0.0,0.0,0.0,0.0,0.0,0.0,18.77,18.66,18.77,18.57,27.48,25.36,27.48,25.36,30.95,26.57,30.95,26.57
2023-11-12T00:17:46Z,-76,741357,15864,61.0,50.0,1000.95,0.0,1252.72,1308.13,967.57,1026.6,132.96,99.11,0.0,0.0,0.0,0.0,0.0,0.0,18.74,20.34,18.74,19.38,26.59,25.83,26.59,25.83,29.96,27.96,29.96,27.96
2023-11-12T00:19:46Z,-77,741477,15864,61.0,50.0,1000.96,0.0,1234.48,1274.68,955.74,993.16,127.78,101.32,0.0,0.0,0.0,0.0,0.0,0.0,17.76,20.39,17.76,19.39,26.93,25.84,26.93,25.84,28.48,26.98,28.48,26.98
