"date","RSSI","Uptime (seconds)","Mem","Humidity (%)","Temperature (F)","Pressure","ADC0 (v)","0.3um A (particles/dL)","0.3um B (particles/dL)","0.5um A (particles/dL)","0.5um B (particles/dL)","1.0um A (particles/dL)","1.0um B (particles/dL)","2.5um A (particles/dL)","2.5um B (particles/dL)","5.0um A (particles/dL)","5.0um B (particles/dL)","10.0um A (particles/dL)","10.0um B (particles/dL)","PM1.0 A (CF=1) (ug/m3)","PM1.0 B (CF=1) (ug/m3)","PM1.0 A (CF=ATM) (ug/m3)","PM1.0 B (CF=ATM) (ug/m3)","PM2.5 A (CF=1) (ug/m3)","PM2.5 B (CF=1) (ug/m3)","PM2.5 A (CF=ATM) (ug/m3)","PM2.5 B (CF=ATM) (ug/m3)","PM10.0 A (CF=1) (ug/m3)","PM10.0 B (CF=1) (ug/m3)","PM10.0 A (CF=ATM) (ug/m3)","PM10.0 B (CF=ATM) (ug/m3)"
2022-07-29T00:00:38Z,-68,2240274,15552,None,None,None,0.01,135.18,195.19,99.43,137.87,0.18,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.19,0.59,1.26,0.59,1.26
2022-07-29T00:02:37Z,-75,2240393,15552,None,None,None,0.01,127.76,190.98,94.13,139.22,0.67,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.3,0.15,0.3,0.57,0.3,0.57,0.3
2022-07-29T00:04:37Z,-71,2240513,15552,None,None,None,0.01,126.08,199.27,93.48,139.71,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.0,0.96,0.0,0.96
2022-07-29T00:06:37Z,-70,2240633,15552,None,None,None,0.01,131.61,181.04,95.98,118.7,0.35,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.61,0.09,0.61,0.17,0.72,0.17,0.72
2022-07-29T00:08:37Z,-73,2240753,15552,None,None,None,0.01,154.49,191.21,105.33,124.0,0.36,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.49,0.04,0.49,0.16,0.83,0.16,0.83
2022-07-29T00:10:38Z,-69,2240874,15552,None,None,None,0.01,152.13,190.07,96.04,118.02,0.78,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.57,0.46,0.57,0.46
2022-07-29T00:12:37Z,-73,2240993,15552,None,None,None,0.01,155.21,190.32,95.34,126.52,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.86,0.06,0.86,0.23,0.98,0.23,0.98
2022-07-29T00:14:37Z,-69,2241113,15552,None,None,None,0.01,142.98,187.33,106.33,135.0,0.17,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.2,0.44,0.2,0.44
2022-07-29T00:16:37Z,-74,2241233,15552,None,None,None,0.01,153.15,198.08,104.74,143.27,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.17,0.48,0.17,0.48
2022-07-29T00:18:37Z,-70,2241353,15552,None,None,None,0.01,148.27,187.43,108.47,120.49,0.62,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.2,0.57,0.2,0.57
2022-07-29T00:20:38Z,-68,2241474,15384,None,None,None,0.01,140.02,193.0,107.36,118.89,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.54,0.43,0.85,0.43,0.85
2022-07-29T00:22:40Z,-69,2241595,15552,None,None,None,0.01,146.52,196.55,99.0,137.57,0.09,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.43,0.02,0.43
2022-07-29T00:24:38Z,-72,2241714,15552,None,None,None,0.01,162.3,208.89,121.02,152.36,0.83,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.32,0.0,0.32,0.0,0.49,0.0,0.49
2022-07-29T00:26:40Z,-74,2241836,15720,None,None,None,0.01,175.15,193.16,117.69,133.95,0.12,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.04,0.11,0.04,0.3,0.04,0.3
2022-07-29T00:28:38Z,-75,2241954,15552,None,None,None,0.01,151.87,195.0,95.46,134.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.22,0.04,0.22,0.04,0.22,0.04,0.22
2022-07-29T00:30:38Z,-68,2242074,15552,None,None,None,0.01,133.55,197.78,93.52,148.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.2,0.04,0.5,0.09,0.5,0.09
2022-07-29T00:32:38Z,-72,2242194,15552,None,None,None,0.01,179.07,183.06,129.43,135.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.2,0.15,0.65,0.4,0.65,0.4
2022-07-29T00:34:38Z,-70,2242314,15552,None,None,None,0.01,159.83,208.2,103.79,165.44,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.0,0.31,0.27,0.31,0.27
2022-07-29T00:36:38Z,-70,2242434,15552,None,None,None,0.01,164.87,198.43,117.28,144.67,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.22,0.46,0.22,0.67,0.35,0.67,0.35
2022-07-29T00:38:38Z,-69,2242554,15552,None,None,None,0.01,125.62,192.78,94.62,137.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.22,0.04,0.22,0.04
2022-07-29T00:40:41Z,-69,2242677,15888,None,None,None,0.01,150.11,198.57,105.54,133.89,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.04,0.09,0.04,0.09
2022-07-29T00:42:38Z,-69,2242794,15552,None,None,None,0.01,150.6,196.96,101.44,139.49,0.33,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.56,0.16,0.56,0.16
2022-07-29T00:44:38Z,-69,2242914,15552,None,None,None,0.01,155.96,198.33,108.79,131.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.6,0.0,0.6,0.0
2022-07-29T00:46:38Z,-72,2243034,15552,None,None,None,0.01,154.73,210.68,111.56,170.36,0.53,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.11,0.19,0.11,0.19
