"date","RSSI","Uptime (seconds)","Mem","Humidity (%)","Temperature (F)","Pressure","ADC0 (v)","0.3um A (particles/dL)","0.3um B (particles/dL)","0.5um A (particles/dL)","0.5um B (particles/dL)","1.0um A (particles/dL)","1.0um B (particles/dL)","2.5um A (particles/dL)","2.5um B (particles/dL)","5.0um A (particles/dL)","5.0um B (particles/dL)","10.0um A (particles/dL)","10.0um B (particles/dL)","PM1.0 A (CF=1) (ug/m3)","PM1.0 B (CF=1) (ug/m3)","PM1.0 A (CF=ATM) (ug/m3)","PM1.0 B (CF=ATM) (ug/m3)","PM2.5 A (CF=1) (ug/m3)","PM2.5 B (CF=1) (ug/m3)","PM2.5 A (CF=ATM) (ug/m3)","PM2.5 B (CF=ATM) (ug/m3)","PM10.0 A (CF=1) (ug/m3)","PM10.0 B (CF=1) (ug/m3)","PM10.0 A (CF=ATM) (ug/m3)","PM10.0 B (CF=ATM) (ug/m3)"
2022-07-24T00:00:13Z,-81,2612792,15264,60.0,72.0,1004.4,0.05,218.09,253.67,164.57,212.2,0.26,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.11,0.61,1.11,0.78,1.74,0.78,1.74
2022-07-24T00:02:12Z,-79,2612911,15264,60.0,72.0,1004.34,0.05,231.61,273.96,170.04,219.27,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.08,0.57,1.08,1.35,1.42,1.35,1.42
2022-07-24T00:04:12Z,-80,2613031,15264,59.0,72.0,1004.29,0.05,219.96,248.57,175.0,203.68,0.61,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.09,0.13,1.09,0.13,1.75,0.13,1.75
2022-07-24T00:06:13Z,-81,2613151,15264,59.0,72.0,1004.31,0.05,215.19,260.59,156.34,222.57,0.09,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.77,0.57,1.77,0.57,2.23,0.57,2.23
2022-07-24T00:08:12Z,-80,2613271,15264,59.0,72.0,1004.29,0.05,204.2,245.11,138.33,206.72,0.36,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.06,1.2,2.06,1.73,2.43,1.73,2.43
2022-07-24T00:10:12Z,-81,2613391,15264,59.0,72.0,1004.25,0.05,196.93,234.65,141.3,194.75,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.96,0.05,0.96,0.55,1.44,0.55,1.44
2022-07-24T00:12:15Z,-82,2613514,15600,59.0,72.0,1004.27,0.05,196.85,236.18,121.81,196.33,0.6,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.91,0.36,1.91,0.91,1.93,0.91,1.93
2022-07-24T00:14:12Z,-81,2613631,15264,59.0,72.0,1004.33,0.05,195.98,234.16,132.4,189.31,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.16,0.32,0.16,0.47,0.42,0.47,0.42
2022-07-24T00:16:12Z,-81,2613751,15264,59.0,72.0,1004.33,0.05,208.3,220.2,151.2,185.83,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.43,0.43,1.43,0.74,1.72,0.74,1.72
2022-07-24T00:18:12Z,-81,2613871,15264,59.0,72.0,1004.2,0.05,192.18,222.72,118.91,175.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.55,0.49,0.55,0.49
2022-07-24T00:20:12Z,-81,2613991,15264,59.0,72.0,1004.2,0.05,188.68,228.79,112.34,189.11,0.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.81,0.3,0.81,0.49,1.32,0.49,1.32
2022-07-24T00:22:12Z,-82,2614111,15264,59.0,72.0,1004.17,0.05,195.45,230.09,118.13,181.23,0.77,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.17,0.26,0.17,0.26,0.49,0.56,0.49,0.56
2022-07-24T00:24:12Z,-81,2614231,15264,59.0,72.0,1004.17,0.05,178.96,212.19,114.89,160.02,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.19,0.02,0.19,0.24,0.32,0.24,0.32
2022-07-24T00:26:12Z,-81,2614351,15264,59.0,72.0,1004.07,0.05,181.57,228.39,114.02,176.39,0.17,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.78,0.39,0.78,0.5,0.85,0.5,0.85
2022-07-24T00:28:12Z,-79,2614471,15264,59.0,72.0,1004.03,0.05,189.73,225.85,122.04,184.81,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.45,0.82,0.45,0.82,0.62,0.82,0.62
2022-07-24T00:30:12Z,-81,2614591,15264,59.0,72.0,1004.06,0.05,185.67,214.96,134.23,164.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.67,0.23,0.67,0.27,1.2,0.27,1.2
2022-07-24T00:32:12Z,-79,2614711,15264,59.0,72.0,1004.0,0.05,190.23,223.47,127.87,163.84,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.53,0.44,0.53,0.44
2022-07-24T00:34:13Z,-84,2614831,15264,59.0,72.0,1004.0,0.05,190.91,229.6,117.2,180.02,1.49,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.22,0.11,0.84,1.21,0.84,1.21
2022-07-24T00:36:12Z,-84,2614951,15264,59.0,72.0,1004.14,0.05,191.73,215.33,118.76,176.07,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.33,0.22,0.33,0.4,0.67,0.4,0.67
2022-07-24T00:38:12Z,-84,2615071,15264,59.0,72.0,1004.04,0.05,198.48,233.96,112.1,181.02,0.21,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.38,0.54,0.38,0.54,0.89,0.54,0.89
2022-07-24T00:40:12Z,-84,2615191,15264,59.0,72.0,1003.92,0.05,196.96,224.33,109.6,175.46,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.93,0.36,0.93,0.36,0.93,0.36,0.93
2022-07-24T00:42:13Z,-84,2615311,15096,58.0,72.0,1003.88,0.05,188.67,219.65,130.24,171.57,0.29,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.52,0.82,0.52,0.87,0.52,0.87,0.52
2022-07-24T00:44:13Z,-84,2615431,15096,58.0,72.0,1003.91,0.05,180.0,220.93,109.06,173.16,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.75,0.1,0.75,0.24,1.27,0.24,1.27
2022-07-24T00:46:13Z,-81,2615551,15264,59.0,72.0,1003.85,0.05,180.74,224.85,109.02,185.87,0.17,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,1.35,0.2,1.48,0.2,1.48
2022-07-24T00:48:13Z,-82,2615671,15264,59.0,72.0,1003.78,0.05,200.67,224.19,119.47,187.28,0.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.45,0.11,1.45,0.22,1.45,0.22,1.45
2022-07-24T00:50:13Z,-80,2615791,15264,59.0,72.0,1003.73,0.05,182.93,220.91,116.89,175.42,0.17,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.87,0.3,0.87,0.54,1.02,0.54,1.02
2022-07-24T00:52:13Z,-81,2615911,15264,58.0,73.0,1003.73,0.05,187.54,226.8,119.5,173.77,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.0,0.28,1.0,0.3,1.05,0.3,1.05
2022-07-24T00:54:13Z,-81,2616031,15264,58.0,73.0,1003.66,0.05,187.73,227.46,104.62,183.63,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.96,0.04,0.96,0.23,1.11,0.23,1.11
