"date","RSSI","Uptime (seconds)","Mem","Humidity (%)","Temperature (F)","Pressure","ADC0 (v)","0.3um A (particles/dL)","0.3um B (particles/dL)","0.5um A (particles/dL)","0.5um B (particles/dL)","1.0um A (particles/dL)","1.0um B (particles/dL)","2.5um A (particles/dL)","2.5um B (particles/dL)","5.0um A (particles/dL)","5.0um B (particles/dL)","10.0um A (particles/dL)","10.0um B (particles/dL)","PM1.0 A (CF=1) (ug/m3)","PM1.0 B (CF=1) (ug/m3)","PM1.0 A (CF=ATM) (ug/m3)","PM1.0 B (CF=ATM) (ug/m3)","PM2.5 A (CF=1) (ug/m3)","PM2.5 B (CF=1) (ug/m3)","PM2.5 A (CF=ATM) (ug/m3)","PM2.5 B (CF=ATM) (ug/m3)","PM10.0 A (CF=1) (ug/m3)","PM10.0 B (CF=1) (ug/m3)","PM10.0 A (CF=ATM) (ug/m3)","PM10.0 B (CF=ATM) (ug/m3)"
2022-12-16T00:00:38Z,-75,124973,16064,59.0,37.0,1008.61,0.06,636.16,761.77,488.31,598.98,56.18,56.89,0.0,0.0,0.0,0.0,0.0,0.0,4.44,6.36,4.44,6.36,9.29,13.75,9.29,13.75,10.76,16.11,10.76,16.11
2022-12-16T00:02:37Z,-77,125092,15784,59.0,37.0,1008.61,0.05,629.47,757.09,492.96,597.72,60.6,61.91,0.0,0.0,0.0,0.0,0.0,0.0,4.73,6.45,4.73,6.45,8.89,11.98,8.89,11.98,13.04,15.43,13.04,15.43
2022-12-16T00:04:36Z,-76,125211,15896,59.0,37.0,1008.61,0.05,626.91,772.13,478.67,608.5,47.98,55.11,0.0,0.0,0.0,0.0,0.0,0.0,4.16,6.41,4.16,6.41,7.64,12.96,7.64,12.96,11.6,15.33,11.6,15.33
2022-12-16T00:06:36Z,-76,125331,15896,59.0,37.0,1008.64,0.06,628.74,778.48,476.79,612.05,40.77,55.23,0.0,0.0,0.0,0.0,0.0,0.0,4.47,6.93,4.47,6.93,8.15,13.18,8.15,13.18,9.55,15.73,9.55,15.73
2022-12-16T00:08:36Z,-75,125451,15896,59.0,37.0,1008.61,0.05,619.11,789.13,486.43,612.4,52.63,58.87,0.0,0.0,0.0,0.0,0.0,0.0,4.3,6.84,4.3,6.84,7.83,14.8,7.83,14.8,9.85,15.8,9.85,15.8
2022-12-16T00:10:36Z,-75,125571,15896,59.0,37.0,1008.61,0.05,646.8,765.85,494.04,588.52,48.09,54.37,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.41,5.0,6.41,7.98,13.72,7.98,13.72,9.18,15.43,9.18,15.43
2022-12-16T00:12:36Z,-75,125691,15896,59.0,37.0,1008.66,0.05,626.6,745.67,479.76,573.46,46.89,60.24,0.0,0.0,0.0,0.0,0.0,0.0,4.38,6.7,4.38,6.7,8.0,13.74,8.0,13.74,9.13,15.67,9.13,15.67
2022-12-16T00:14:36Z,-75,125811,15896,59.0,37.0,1008.65,0.05,609.83,720.78,461.02,560.38,45.51,49.38,0.0,0.0,0.0,0.0,0.0,0.0,3.6,6.4,3.6,6.4,7.17,12.91,7.17,12.91,9.34,14.82,9.34,14.82
2022-12-16T00:16:36Z,-75,125931,15896,59.0,37.0,1008.67,0.05,587.49,733.86,449.69,568.27,42.24,47.57,0.0,0.0,0.0,0.0,0.0,0.0,4.18,6.82,4.18,6.82,6.87,12.16,6.87,12.16,8.16,15.07,8.16,15.07
2022-12-16T00:18:36Z,-75,126051,15896,59.0,37.0,1008.71,0.05,578.29,723.7,445.07,570.54,42.47,53.83,0.0,0.0,0.0,0.0,0.0,0.0,3.84,6.02,3.84,6.02,6.44,11.22,6.44,11.22,7.16,14.41,7.16,14.41
