"date","RSSI","Uptime (seconds)","Mem","Humidity (%)","Temperature (F)","Pressure","ADC0 (v)","0.3um A (particles/dL)","0.3um B (particles/dL)","0.5um A (particles/dL)","0.5um B (particles/dL)","1.0um A (particles/dL)","1.0um B (particles/dL)","2.5um A (particles/dL)","2.5um B (particles/dL)","5.0um A (particles/dL)","5.0um B (particles/dL)","10.0um A (particles/dL)","10.0um B (particles/dL)","PM1.0 A (CF=1) (ug/m3)","PM1.0 B (CF=1) (ug/m3)","PM1.0 A (CF=ATM) (ug/m3)","PM1.0 B (CF=ATM) (ug/m3)","PM2.5 A (CF=1) (ug/m3)","PM2.5 B (CF=1) (ug/m3)","PM2.5 A (CF=ATM) (ug/m3)","PM2.5 B (CF=ATM) (ug/m3)","PM10.0 A (CF=1) (ug/m3)","PM10.0 B (CF=1) (ug/m3)","PM10.0 A (CF=ATM) (ug/m3)","PM10.0 B (CF=ATM) (ug/m3)"
2022-10-13T00:00:06Z,-55,538823,15392,63.0,59.0,1014.55,0.01,718.13,624.57,564.13,509.25,60.04,60.77,0.0,0.0,0.0,0.0,0.0,0.0,6.3,5.3,6.3,5.3,12.94,10.7,12.94,10.7,15.57,13.27,15.57,13.27
2022-10-13T00:02:05Z,-57,538942,15392,63.0,59.0,1014.47,0.01,529.53,465.04,416.78,376.94,31.91,30.7,0.0,0.0,0.0,0.0,0.0,0.0,2.56,1.79,2.56,1.79,8.0,5.79,8.0,5.79,9.64,7.3,9.64,7.3
2022-10-13T00:04:04Z,-54,539061,15392,63.0,59.0,1014.46,0.01,314.05,271.43,234.11,224.87,2.23,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,2.2,2.0,2.2,2.0,2.68,2.26,2.68,2.26
2022-10-13T00:06:04Z,-57,539181,15392,62.0,59.0,1014.42,0.01,325.98,276.89,241.85,223.38,5.62,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.09,2.49,1.51,2.49,1.51,3.11,2.89,3.11,2.89
2022-10-13T00:08:04Z,-55,539301,15392,62.0,59.0,1014.46,0.01,302.52,238.93,231.89,193.8,4.87,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.98,2.07,0.98,2.72,1.71,2.72,1.71
2022-10-13T00:10:04Z,-53,539421,15392,62.0,59.0,1014.49,0.01,266.66,218.4,205.74,167.32,1.62,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.87,0.98,0.87,2.21,1.49,2.21,1.49
2022-10-13T00:12:04Z,-56,539541,15392,62.0,59.0,1014.51,0.01,258.65,239.52,199.47,200.52,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.04,0.65,1.04,0.84,1.52,0.84,1.52
2022-10-13T00:14:04Z,-54,539661,15392,62.0,58.0,1014.21,0.01,277.74,225.27,216.32,169.11,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.33,1.49,0.33,2.15,0.8,2.15,0.8
2022-10-13T00:16:04Z,-55,539781,15392,62.0,58.0,1014.54,0.01,389.22,339.11,300.63,281.48,18.37,25.27,0.0,0.0,0.0,0.0,0.0,0.0,1.78,1.36,1.78,1.36,3.83,3.91,3.83,3.91,5.41,5.16,5.41,5.16
2022-10-13T00:18:04Z,-53,539901,15392,62.0,58.0,1014.49,0.01,962.04,837.65,774.47,699.63,123.43,127.33,2.64,3.48,0.0,0.0,0.0,0.0,10.6,9.07,10.4,8.93,21.23,20.61,20.49,19.54,25.09,24.37,24.68,23.76
2022-10-13T00:20:04Z,-56,540021,15392,62.0,58.0,1014.52,0.01,607.32,533.49,480.48,434.72,61.66,48.96,0.0,0.34,0.0,0.0,0.0,0.0,3.68,2.66,3.68,2.66,11.5,9.21,11.5,9.21,13.61,12.26,13.61,12.26
2022-10-13T00:22:04Z,-56,540141,15392,62.0,58.0,1014.56,0.01,333.78,289.34,253.87,229.7,6.87,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.06,0.29,0.06,2.42,1.64,2.42,1.64,3.33,3.15,3.33,3.15
2022-10-13T00:24:04Z,-57,540261,15392,62.0,58.0,1014.57,0.01,355.59,277.45,266.26,220.64,2.48,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.25,0.63,0.25,2.26,1.34,2.26,1.34,3.15,2.55,3.15,2.55
2022-10-13T00:26:04Z,-55,540381,15392,63.0,57.0,1014.58,0.01,336.89,273.44,266.64,216.11,10.13,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,2.71,1.8,2.71,1.8,3.4,2.67,3.4,2.67
2022-10-13T00:28:04Z,-54,540501,15392,64.0,57.0,1014.56,0.01,409.67,282.87,319.98,235.3,24.67,2.32,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,1.41,0.0,4.17,1.66,4.17,1.66,5.22,3.45,5.22,3.45
2022-10-13T00:30:04Z,-53,540621,15392,65.0,56.0,1014.51,0.01,381.78,302.29,293.71,257.77,15.31,7.31,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.17,1.09,0.17,3.96,3.08,3.96,3.08,4.47,4.5,4.47,4.5
2022-10-13T00:32:04Z,-54,540741,15392,65.0,56.0,1014.54,0.01,388.96,309.26,307.35,252.22,18.57,6.04,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.22,1.07,0.22,4.11,2.5,4.11,2.5,5.98,4.78,5.98,4.78
2022-10-13T00:34:04Z,-57,540861,15392,66.0,57.0,1014.56,0.01,356.6,295.2,283.78,238.84,13.82,3.36,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.29,1.49,0.29,3.38,2.44,3.38,2.44,3.96,3.47,3.96,3.47
2022-10-13T00:36:04Z,-55,540981,15392,65.0,56.0,1014.53,0.01,416.83,327.0,314.4,272.51,37.7,27.98,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.23,0.68,0.23,5.66,4.74,5.66,4.74,8.3,7.13,8.3,7.13
2022-10-13T00:38:04Z,-53,541101,15392,65.0,55.0,1013.94,0.01,423.02,326.36,336.73,270.72,33.43,16.43,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.49,1.66,0.49,5.34,3.94,5.34,3.94,6.7,5.34,6.7,5.34
2022-10-13T00:40:04Z,-54,541221,15392,66.0,56.0,1014.55,0.01,411.21,340.07,313.26,280.09,34.28,14.38,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,1.51,0.0,5.17,3.84,5.17,3.84,6.32,6.09,6.32,6.09
