"date","RSSI","Uptime (seconds)","Mem","Humidity (%)","Temperature (F)","Pressure","ADC0 (v)","0.3um A (particles/dL)","0.3um B (particles/dL)","0.5um A (particles/dL)","0.5um B (particles/dL)","1.0um A (particles/dL)","1.0um B (particles/dL)","2.5um A (particles/dL)","2.5um B (particles/dL)","5.0um A (particles/dL)","5.0um B (particles/dL)","10.0um A (particles/dL)","10.0um B (particles/dL)","PM1.0 A (CF=1) (ug/m3)","PM1.0 B (CF=1) (ug/m3)","PM1.0 A (CF=ATM) (ug/m3)","PM1.0 B (CF=ATM) (ug/m3)","PM2.5 A (CF=1) (ug/m3)","PM2.5 B (CF=1) (ug/m3)","PM2.5 A (CF=ATM) (ug/m3)","PM2.5 B (CF=ATM) (ug/m3)","PM10.0 A (CF=1) (ug/m3)","PM10.0 B (CF=1) (ug/m3)","PM10.0 A (CF=ATM) (ug/m3)","PM10.0 B (CF=ATM) (ug/m3)"
2023-03-25T00:01:43Z,-81,1013801,16176,None,None,None,0.04,235.93,220.72,185.65,157.15,0.26,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.43,0.24,0.43,1.46,0.93,1.46,0.93
2023-03-25T00:03:41Z,-79,1013919,16008,None,None,None,0.04,255.69,235.38,195.73,192.26,1.02,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.4,0.87,0.4,0.87,1.96,1.64,1.96,1.64
2023-03-25T00:05:41Z,-82,1014039,16008,None,None,None,0.04,243.48,233.44,194.96,191.9,1.26,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.96,0.88,0.96,0.88,1.46,0.96,1.46,0.96
2023-03-25T00:07:41Z,-82,1014159,16008,None,None,None,0.04,257.4,229.91,199.26,187.93,0.38,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.59,0.47,0.59,1.34,1.37,1.34,1.37
2023-03-25T00:09:41Z,-77,1014279,16008,None,None,None,0.04,242.83,214.93,185.13,166.4,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.91,0.44,0.91,0.44
2023-03-25T00:11:41Z,-81,1014399,16008,None,None,None,0.03,219.86,213.13,170.66,156.3,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.25,0.76,0.25,0.76,0.61,0.89,0.61,0.89
2023-03-25T00:13:41Z,-82,1014519,16008,None,None,None,0.04,229.87,218.74,187.11,184.09,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.41,0.64,0.41,0.64,0.98,0.98,0.98,0.98
2023-03-25T00:15:41Z,-83,1014639,16008,None,None,None,0.04,239.38,229.29,196.57,183.93,0.32,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,1.38,0.38,1.38,0.38
2023-03-25T00:17:41Z,-82,1014759,16008,None,None,None,0.04,286.89,250.45,226.61,199.75,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.14,1.13,1.14,2.39,1.34,2.39,1.34
2023-03-25T00:19:41Z,-82,1014879,16008,None,None,None,0.03,314.29,271.02,248.84,226.17,1.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.0,2.51,1.08,2.51,1.08,2.98,1.75,2.98,1.75
