"date","RSSI","Uptime (seconds)","Mem","Humidity (%)","Temperature (F)","Pressure","ADC0 (v)","0.3um A (particles/dL)","0.3um B (particles/dL)","0.5um A (particles/dL)","0.5um B (particles/dL)","1.0um A (particles/dL)","1.0um B (particles/dL)","2.5um A (particles/dL)","2.5um B (particles/dL)","5.0um A (particles/dL)","5.0um B (particles/dL)","10.0um A (particles/dL)","10.0um B (particles/dL)","PM1.0 A (CF=1) (ug/m3)","PM1.0 B (CF=1) (ug/m3)","PM1.0 A (CF=ATM) (ug/m3)","PM1.0 B (CF=ATM) (ug/m3)","PM2.5 A (CF=1) (ug/m3)","PM2.5 B (CF=1) (ug/m3)","PM2.5 A (CF=ATM) (ug/m3)","PM2.5 B (CF=ATM) (ug/m3)","PM10.0 A (CF=1) (ug/m3)","PM10.0 B (CF=1) (ug/m3)","PM10.0 A (CF=ATM) (ug/m3)","PM10.0 B (CF=ATM) (ug/m3)"
2022-07-20T00:00:16Z,-85,131174,15552,38.0,82.0,1002.51,0.01,878.53,1006.72,700.38,768.0,87.28,98.47,0.0,0.0,0.0,0.0,0.0,0.0,9.57,11.57,9.57,11.57,20.89,21.11,20.89,21.11,21.77,22.38,21.77,22.38
2022-07-20T00:02:16Z,-84,131294,15552,38.0,82.0,1002.46,0.01,902.36,1016.93,722.45,771.91,86.0,93.41,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.7,11.0,12.7,21.17,21.34,21.17,21.34,21.85,22.07,21.85,22.07
2022-07-20T00:04:16Z,-85,131414,15552,38.0,82.0,1002.28,0.01,918.82,1004.19,732.82,750.96,96.27,97.29,0.0,0.0,0.0,0.0,0.0,0.0,10.64,12.79,10.64,12.79,21.16,21.77,21.16,21.77,22.67,22.62,22.67,22.62
2022-07-20T00:06:16Z,-86,131533,15552,38.0,82.0,1002.21,0.01,906.25,1016.04,714.09,767.31,90.5,82.4,0.0,0.0,0.0,0.0,0.0,0.0,8.91,13.38,8.91,13.38,19.02,21.4,19.02,21.4,22.0,22.17,22.0,22.17
2022-07-20T00:08:16Z,-86,131654,15552,37.0,82.0,1002.17,0.01,844.3,947.13,673.54,720.67,84.96,87.43,0.0,0.0,0.0,0.0,0.0,0.0,8.24,10.67,8.24,10.67,18.65,20.09,18.65,20.09,19.26,21.46,19.26,21.46
2022-07-20T00:10:16Z,-84,131774,15552,38.0,82.0,1002.15,0.01,837.94,967.32,674.3,729.34,92.28,93.27,0.0,0.0,0.0,0.0,0.0,0.0,8.15,11.75,8.15,11.75,19.53,20.52,19.53,20.52,21.34,22.91,21.34,22.91
2022-07-20T00:12:16Z,-86,131894,15552,38.0,81.0,1002.15,0.01,884.17,935.83,701.37,712.04,87.35,90.17,0.0,0.0,0.0,0.0,0.0,0.0,9.04,10.87,9.04,10.87,19.13,20.2,19.13,20.2,20.72,21.91,20.72,21.91
2022-07-20T00:14:16Z,-87,132014,15552,37.0,81.0,1002.17,0.01,830.17,921.65,666.55,715.92,87.76,91.23,0.0,0.0,0.0,0.0,0.0,0.0,8.33,10.48,8.33,10.48,18.38,19.92,18.38,19.92,20.4,20.88,20.4,20.88
2022-07-20T00:16:16Z,-87,132134,15552,37.0,81.0,1002.16,0.01,824.18,908.23,664.11,692.66,78.11,85.55,0.0,0.0,0.0,0.0,0.0,0.0,8.42,10.02,8.42,10.02,18.04,19.57,18.04,19.57,19.42,20.79,19.42,20.79
2022-07-20T00:18:16Z,-87,132254,15552,38.0,81.0,1002.03,0.01,828.78,902.18,651.11,698.13,88.09,85.82,0.0,0.0,0.0,0.0,0.0,0.0,8.2,9.24,8.2,9.24,18.93,18.89,18.93,18.89,21.26,20.11,21.26,20.11
2022-07-20T00:20:17Z,-85,132375,15552,37.0,81.0,1002.12,0.01,847.09,938.54,680.85,718.52,91.39,88.24,0.0,0.0,0.0,0.0,0.0,0.0,8.54,9.85,8.54,9.85,19.04,19.67,19.04,19.67,21.89,20.54,21.89,20.54
2022-07-20T00:22:16Z,-87,132494,15552,38.0,81.0,1002.03,0.01,831.44,933.21,659.12,720.23,89.19,83.29,0.0,0.0,0.0,0.0,0.0,0.0,8.23,9.56,8.23,9.56,18.4,20.0,18.4,20.0,19.98,20.0,19.98,20.0
