"date","RSSI","Uptime (seconds)","Mem","Humidity (%)","Temperature (F)","Pressure","ADC0 (v)","0.3um A (particles/dL)","0.3um B (particles/dL)","0.5um A (particles/dL)","0.5um B (particles/dL)","1.0um A (particles/dL)","1.0um B (particles/dL)","2.5um A (particles/dL)","2.5um B (particles/dL)","5.0um A (particles/dL)","5.0um B (particles/dL)","10.0um A (particles/dL)","10.0um B (particles/dL)","PM1.0 A (CF=1) (ug/m3)","PM1.0 B (CF=1) (ug/m3)","PM1.0 A (CF=ATM) (ug/m3)","PM1.0 B (CF=ATM) (ug/m3)","PM2.5 A (CF=1) (ug/m3)","PM2.5 B (CF=1) (ug/m3)","PM2.5 A (CF=ATM) (ug/m3)","PM2.5 B (CF=ATM) (ug/m3)","PM10.0 A (CF=1) (ug/m3)","PM10.0 B (CF=1) (ug/m3)","PM10.0 A (CF=ATM) (ug/m3)","PM10.0 B (CF=ATM) (ug/m3)"
2023-07-23T00:00:17Z,-81,76576,16352,75.0,66.0,996.38,0.02,231.73,266.17,199.43,212.85,0.09,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.75,0.48,1.75,1.2,1.79,1.2,1.79
2023-07-23T00:02:15Z,-81,76694,16184,75.0,66.0,996.33,0.02,215.48,251.89,168.61,194.02,1.07,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.43,0.75,1.43,0.75,1.6,0.75,1.6
2023-07-23T00:04:15Z,-85,76814,16184,74.0,66.0,996.3,0.02,220.82,248.24,170.89,192.69,1.02,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.0,0.78,1.0,1.09,1.49,1.09,1.49
2023-07-23T00:06:15Z,-78,76935,16184,75.0,66.0,996.32,0.02,202.87,258.9,146.24,201.25,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,1.27,0.2,1.27,0.2,1.27
2023-07-23T00:08:15Z,-78,77054,16184,74.0,66.0,996.3,0.02,219.15,253.07,151.32,204.98,0.26,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.67,0.17,1.67,0.32,1.93,0.32,1.93
2023-07-23T00:10:15Z,-78,77174,16184,75.0,66.0,996.29,0.02,217.06,248.44,153.43,199.4,0.94,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.84,0.23,0.84,0.53,0.91,0.53,0.91
2023-07-23T00:12:15Z,-78,77294,16184,74.0,66.0,996.22,0.02,203.11,250.2,139.33,199.46,0.61,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.5,0.09,1.5,0.13,1.54,0.13,1.54
2023-07-23T00:14:15Z,-78,77414,16184,75.0,65.0,996.15,0.02,176.7,242.57,116.93,196.98,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.04,0.33,1.04,0.86,1.8,0.86,1.8
2023-07-23T00:16:15Z,-79,77534,16184,75.0,66.0,996.15,0.02,187.69,228.94,122.38,157.85,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.98,0.53,0.98,0.56,1.57,0.56,1.57
2023-07-23T00:18:15Z,-82,77654,16184,75.0,66.0,996.16,0.02,209.61,245.09,152.11,188.71,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.51,0.13,1.51,0.15,1.51,0.15,1.51
2023-07-23T00:20:15Z,-81,77774,16184,75.0,66.0,996.1,0.02,190.67,223.02,116.15,148.51,0.26,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.78,0.04,0.78,0.26,1.04,0.26,1.04
2023-07-23T00:22:15Z,-81,77894,16184,75.0,66.0,996.11,0.02,177.25,212.28,101.98,149.72,0.45,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.91,0.09,0.91,0.14,0.91,0.14,0.91
2023-07-23T00:24:15Z,-78,78014,16184,75.0,66.0,996.09,0.02,172.71,193.67,104.69,125.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.33,0.16,0.33,0.38,1.11,0.38,1.11
2023-07-23T00:26:15Z,-81,78134,16184,74.0,65.0,996.05,0.02,142.34,205.16,92.28,148.29,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.31,0.0,0.31,0.0,0.78,0.0,0.78
2023-07-23T00:28:15Z,-81,78254,16184,75.0,66.0,996.08,0.02,160.57,196.22,97.19,128.07,0.26,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.53,0.09,0.53,0.34,1.04,0.34,1.04
2023-07-23T00:30:15Z,-81,78374,16184,75.0,65.0,996.02,0.02,186.82,203.87,119.71,139.61,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.85,0.13,0.85,0.31,0.93,0.31,0.93
2023-07-23T00:32:15Z,-83,78494,16184,75.0,66.0,996.04,0.02,137.09,176.85,85.09,108.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.26,0.35,0.26,0.77,0.43,0.77,0.43
2023-07-23T00:34:15Z,-83,78614,16184,75.0,66.0,996.03,0.02,104.52,150.76,70.39,93.29,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.18,0.17,0.18,0.17,0.2,0.17,0.2
2023-07-23T00:36:15Z,-83,78735,16184,75.0,65.0,995.98,0.02,89.22,128.02,62.41,78.25,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.04,0.23,0.04,0.23
